,dos,normal,probe,r2l,u2r
Random Forest,0.8790058862001308,0.7833360940864668,0.7011385199240987,0.0039032006245121,0.05714285714285714
XGBoost,0.8953078968168428,0.7926793434915838,0.7099428571428571,0.0046801872074883,0.1282051282051282
MLP,0.8602180598266704,0.7626759369170765,0.5878989995235827,0.026214340786430222,0.0
